name,href,time,price,bedroom,location,longitudes,lattitudes
Private & Cozy 2 br  Lower Floor Suite in Dunbar near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-private-cozy-br-lower-floor/7499768517.html,2022-07-05 10:02:00,2480,2,22 ave near collingwood,-100.445882,39.78373
"Furnished, Bright, 3 BR Basement Suite, Nr UBC",https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bright-br-basement/7504840508.html,2022-07-05 01:14:00,2925,3,location not found,0.0,0.0
Newly rebuilt furnished 2 bed 2 bath basement suite near UBC for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-newly-rebuilt-furnished-bed/7498723547.html,2022-07-04 23:26:00,3000,2,W 35th Ave near Maple,-100.445882,39.78373
UBC 3 Bed 1.5 Bath Townhouse,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-bed-15-bath-townhouse/7502341839.html,2022-07-04 23:03:00,4343,3,location not found,0.0,0.0
"UBC,Langara skytrain 4 bedrooms 2.5throom townhouseU",https://vancouver.craigslist.org/van/apa/d/vancouver-ubclangara-skytrain-bedrooms/7504806535.html,2022-07-04 19:28:00,4700,4,location not found,0.0,0.0
1 Bedroom Condo on UBC Campus (No Students),https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-condo-on-ubc-campus/7504785048.html,2022-07-04 17:42:00,2250,1,5735 Hampton Place near Wesbrook Mall,-100.445882,39.78373
The Laureates 1901 - UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-the-laureates-ubc/7504783685.html,2022-07-04 17:38:00,4600,3,5628 Birney Avenue,-123.232941,49.254344
The Laureates 112 - UBC Garden Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-the-laureates-ubc-garden-suite/7497768205.html,2022-07-04 16:29:00,3600,2,5638 Birney Avenue,-123.232941,49.254344
UBC Gorgeous Upper Unit - 2 Bedroom + 2 Bathroom For Rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-gorgeous-upper-unit/7504764546.html,2022-07-04 16:19:00,3700,2,5628 Birney Avenue,-123.232941,49.254344
Beautiful 2BED+2BATH CONDO in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-2bed2bath-condo-in/7502811517.html,2022-07-04 14:33:00,3800,2,5868 Agronomy Road,-123.255258,49.259707
"UBC Luxury ocean view 2 bedroom and Den, available now.",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-luxury-ocean-view-bedroom/7504725780.html,2022-07-04 14:10:00,4200,2,705-2688 West Mall near S. W. Marine Dr. and 16th Ave.,-100.445882,39.78373
UBC 2bdrm 2bathroom condo for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-2bdrm-2bathroom-condo-for/7504496959.html,2022-07-03 21:54:00,4000,2,ross drive near gray ave,-100.445882,39.78373
New one bedroom suite across UBC campus,https://vancouver.craigslist.org/van/apa/d/vancouver-new-one-bedroom-suite-across/7504469343.html,2022-07-03 19:00:00,1350,1,Wesbrook Cresent near Campus road,-100.445882,39.78373
温西近UBC舒适温馨小两居Perfect & Cozy 2 br  Lower Floor Suite in Dunba,https://vancouver.craigslist.org/van/apa/d/vancouver-ubcperfect-cozy-br-lower/7502558016.html,2022-07-03 16:52:00,2480,2,22 ave near collingwood,-100.445882,39.78373
UBC beautiful garden facing 2br condo with A/C Available Aug 1st !,https://vancouver.craigslist.org/rch/apa/d/vancouver-ubc-beautiful-garden-facing/7504300620.html,2022-07-03 10:36:00,3800,2,5638 Birney Ave,-123.232941,49.254344
UBC/ Beautiful Garden level newly renovated suite in a character home,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-beautiful-garden-level/7504302916.html,2022-07-03 10:21:00,4500,3,location not found,0.0,0.0
Spacious 2 Beds & 2 Baths Apartment Nearby UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-beds-baths-apartment/7502461711.html,2022-07-03 10:06:00,3700,2,location not found,0.0,0.0
1 BED Metro Vancouver Surrey Center Central UBC SFU KPU,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-metro-vancouver-surrey/7504205777.html,2022-07-03 05:07:00,1700,1,location not found,0.0,0.0
$1900 Bright UBC 2 bedrooms/1 bathroom Basement Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-1900-bright-ubc-bedrooms/7504175422.html,2022-07-02 21:56:00,1900,2,location not found,0.0,0.0
3 Bd 1 Bath - Apartment for Rent - Close to UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bd-bath-apartment-for-rent/7504133878.html,2022-07-02 17:54:00,3450,3,W10th Ave near Trimble St,-100.445882,39.78373
UBC Sublet,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-sublet/7504065140.html,2022-07-02 14:32:00,930,1,location not found,0.0,0.0
2 bedroom basement suite near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-basement-suite-near/7503885451.html,2022-07-02 07:46:00,2200,2,4291 Staulo Cres. near Salish Drive,-100.445882,39.78373
UBC Wesbrook Village corner 2 bedroom and 2 full bathroom,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-wesbrook-village-corner/7503884468.html,2022-07-02 07:43:00,3600,2,5928 Birney Ave near Wesbrook,-100.445882,39.78373
Spacious&Bright 2Beds 2 Bath + Den + Large Balcony - Jericho Beach/UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-spaciousbright-2beds-bath-den/7503573980.html,2022-07-01 12:46:00,3400,2,location not found,0.0,0.0
1 Bedroom Suite on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-on-ubc-campus/7503305364.html,2022-06-30 16:29:00,2575,1,Toronto Rd,-123.239713,49.265311
UBC 2br condo with A/C with gorgeous forest view Available Now !,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-2br-condo-with-c-with/7503178979.html,2022-06-30 11:38:00,3600,2,5628 Birney Ave,-123.232941,49.254344
vancouver UBC marine drive basement 2 bedroom for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-ubc-marine-drive/7503139800.html,2022-06-30 10:14:00,2800,2,location not found,0.0,0.0
"Spacious, bright 2 bedroom above-ground suite close to UBC & shops",https://vancouver.craigslist.org/van/apa/d/spacious-bright-bedroom-above-ground/7503098093.html,2022-06-30 08:53:00,3180,2,location not found,0.0,0.0
New UBC highrise apartment unit,https://vancouver.craigslist.org/van/apa/d/vancouver-new-ubc-highrise-apartment/7502863037.html,2022-06-29 15:07:00,3600,2,5410 Shortcut Road near Acadia Road,-100.445882,39.78373
UBC wesbrook Eton south facing 2 bedroom 2 bath move in Aug,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-wesbrook-eton-south/7502313849.html,2022-06-28 10:48:00,4000,2,location not found,0.0,0.0
UBC New 2 bedroom  south facing Nobel Park garden,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-new-bedroom-south-facing/7500256048.html,2022-06-28 10:42:00,3900,2,location not found,0.0,0.0
Beautiful UBC Townhouse with Private Rooftop!,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-ubc-townhouse-with/7501832931.html,2022-06-27 09:38:00,5800,3,location not found,0.0,0.0
"2 Bedroom +Den, 2 Bath Apartment @ UBC Campus",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-den-bath-apartment/7501652246.html,2022-06-26 19:23:00,4500,2,location not found,0.0,0.0
Room for Rent at UBC $869,https://vancouver.craigslist.org/van/apa/d/vancouver-room-for-rent-at-ubc-869/7501649966.html,2022-06-26 19:13:00,795,1,2550 Wesbrook Mall,-123.243985,49.26442
3BDR Beautiful Home w/amazing views - one bus to UBC- Wifi- SEPT - May 2023,https://vancouver.craigslist.org/van/apa/d/vancouver-3bdr-beautiful-home-amazing/7500262803.html,2022-06-26 14:48:00,4900,3,location not found,0.0,0.0
Fully Furnished 1 Bed +1 Den with underground parking on UBC Campus,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-bed-den-with/7501476215.html,2022-06-26 10:51:00,2800,1,wesbrook mall near gray avenue,-100.445882,39.78373
UBC 5928 Birney Ave // 1bed+1bathroom for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-5928-birney-ave/7491101834.html,2022-06-25 21:36:00,1550,2,Birney Ave,-123.232941,49.254344
Stunning Ocean View 2 bed 2 bath- Nobel Park @ UBC Wesbrook Village,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-ocean-view-bed-bath/7496483097.html,2022-06-23 13:25:00,3800,2,3533 Ross Dr,-123.23916,49.252189
Rare Retreat Style Furnished 2-Bed 2-Bath Home in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-rare-retreat-style-furnished/7500023290.html,2022-06-22 19:08:00,3850,2,location not found,0.0,0.0
2nd level 1 bedroom near UBC for rent,https://vancouver.craigslist.org/bnc/apa/d/vancouver-2nd-level-bedroom-near-ubc/7499113224.html,2022-06-20 17:23:00,1300,1,Dunbar near 17th,-100.445882,39.78373
close to UBC  2 bedroom 1 bath room,https://vancouver.craigslist.org/van/apa/d/vancouver-close-to-ubc-bedroom-bath-room/7499098270.html,2022-06-20 16:42:00,2500,2,French street,-123.139136,49.210861
UBC 3beds +2 baths+1den brand new condo to rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-3beds-baths1den-brand-new/7490254306.html,2022-06-20 14:24:00,5000,3,location not found,0.0,0.0
UBC Pacific Spirit 2 Bedroom 2 Bathroom Penthouse,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-pacific-spirit-bedroom/7486951872.html,2022-06-20 14:24:00,3800,2,5928 Birney Ave,-123.235127,49.253345
Spacious 3 Bed + Den Condo in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bed-den-condo-in-ubc/7498932025.html,2022-06-20 11:08:00,4200,3,location not found,0.0,0.0
UBC brand new big one bed room apartment month rent,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-brand-new-big-one-bed/7486075403.html,2022-06-19 01:15:00,3500,1,3533 Ross dr,-123.23916,49.252189
8 bedroom House UBC Students,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-house-ubc-students/7497942217.html,2022-06-17 17:11:00,8900,8,57th near SW Marine,-100.445882,39.78373
Brand New 2 Bedroom 2 Bathroom Laneway House near UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-bedroom-bathroom/7497570372.html,2022-06-16 22:02:00,3200,2,location not found,0.0,0.0
"☎☎  Newly Renovated Big house, Front/Back yard, Garage UBC Campus",https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-big-house/7496826605.html,2022-06-15 08:20:00,6800,6,Knox Rd near University Blvd,-100.445882,39.78373
Renovated House in UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-house-in-ubc/7495457537.html,2022-06-11 21:27:00,7000,4,5688 Chancellor Blvd,-123.236164,49.272848
Furnished Close to UBC Two Bedroom Basement Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-close-to-ubc-two/7483882812.html,2022-06-11 16:12:00,2300,2,26th Ave W near Dunbar,-100.445882,39.78373
1B/R/1BA in 2BR/2BA; AVAILABLE IN WESBROOK VILLAGE UBC,https://vancouver.craigslist.org/van/apa/d/vancouver-1b-1ba-in-2br-2ba-available/7495064198.html,2022-06-10 22:28:00,1700,1,3478 Wesbrook Mall,-123.233718,49.252919
"UBC Fully furnised 2 bedroom, 3 beds at Westbrook mall 1000sf",https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-fully-furnised-bedroom/7482577604.html,2022-06-10 09:10:00,4800,2,birney avenue near binning,-100.445882,39.78373
Vancouver west side near UBC 7 bedroom 3 bathroom house for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-side-near-ubc/7483413186.html,2022-06-08 18:10:00,1200,7,SW Marine Dr. near 41 AVE,-100.445882,39.78373
(ORCA_REF#2468E)Beautiful 2Bed/2Bath in Sought After Renfrew Heights,https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref2468ebeautiful-2bed/7506134625.html,2022-07-07 21:00:00,2800,2,2468 East Broadway,-123.05714,49.262281
4 Bedrooms Upper Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-upper-suite/7506124507.html,2022-07-07 20:08:00,4190,4,32nd near Yew,-100.445882,39.78373
Next to Joyce Skytrain Station upstairs 2 bedrooms suite in a single h,https://vancouver.craigslist.org/van/apa/d/vancouver-next-to-joyce-skytrain/7506122490.html,2022-07-07 20:10:00,1900,2,location not found,0.0,0.0
(ORCA_REF#3404-889)BRAND NEW 2bed+2bath&den in Desirable Downtown Van,https://vancouver.craigslist.org/van/apa/d/vancouver-orcaref-brand-new/7506107923.html,2022-07-07 18:58:00,4200,2,889 Pacific Street,-123.130702,49.275922
One Bedroom Basement Suite for Rent,https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-basement-suite/7503674676.html,2022-07-07 18:49:00,1225,1,location not found,0.0,0.0
FURNISHED 2 BEDS + 2 BATHS + A/C + 1 PARKING IN VANCOUVER,https://vancouver.craigslist.org/rds/apa/d/vancouver-furnished-beds-baths-c/7506100968.html,2022-07-07 18:33:00,4300,2,1200 ALBERNI ST,-123.126535,49.286731
"Newly Renovated VW 3 Bedroom ,Separate  Entrance and Laundry",https://vancouver.craigslist.org/van/apa/d/vancouver-newly-renovated-vw-bedroom/7504323197.html,2022-07-07 18:31:00,3000,3,location not found,0.0,0.0
SEMI-FURNISHED 2 BED + SOLARIUM + 2 BATH + 1 PARKING IN VANCOUVER,https://vancouver.craigslist.org/van/apa/d/vancouver-semi-furnished-bed-solarium/7506098663.html,2022-07-07 18:24:00,4500,2,212 DAVIE ST,-123.12201,49.27428
$1900 - Large 1 bedroom basement suite with private entrance,https://vancouver.craigslist.org/van/apa/d/vancouver-large-bedroom-basement-suite/7498401613.html,2022-07-07 18:08:00,1900,1,location not found,0.0,0.0
PET FRIENDLY UNFURNISHED 3 BEDS + 2.5 BATHS + 1 PARKING IN VANCOUVER,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-friendly-unfurnished-beds/7506090919.html,2022-07-07 17:59:00,4000,3,1239 64TH AVE W,-100.445882,39.78373
Vancouver west side 4 bedrooms for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-side-bedrooms/7499594214.html,2022-07-07 17:51:00,4800,4,41 Ave W near SW Marine Dr,-100.445882,39.78373
Vancouver West 3 bedroom for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-bedroom-for/7505136079.html,2022-07-07 17:51:00,2700,3,Oak St,-122.75085,53.894388
3 levels house at Vancouver West for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-levels-house-at-vancouver/7504723808.html,2022-07-07 16:58:00,8000,8,2756 W 33rd Ave,-123.119295,49.241117
Bright main floor of house for rent,https://vancouver.craigslist.org/van/apa/d/vancouver-bright-main-floor-of-house/7506065263.html,2022-07-07 16:41:00,4200,3,location not found,0.0,0.0
Furnished 1 bedroom Suite,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-suite/7500722507.html,2022-07-07 16:18:00,1950,1,location not found,0.0,0.0
"Luxurious, Almost-Brand-New 2 bedroom basement suite available Sept 1",https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-almost-brand-new/7500653646.html,2022-07-07 16:17:00,2750,2,location not found,0.0,0.0
Spacious 2 bedroom + den Excellent location!,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-den/7506054740.html,2022-07-07 16:13:00,1950,2,733 east 18th Avenue near Fraser Street,-100.445882,39.78373
Spacious & Modern Corner 2 Bedroom - Arbutus Walk,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-modern-corner/7506040810.html,2022-07-07 15:36:00,4200,2,2111 West 11th Avenue near Arbutus,-100.445882,39.78373
Bright & Airy 2 Bedroom - Arbutus Walk,https://vancouver.craigslist.org/van/apa/d/vancouver-bright-airy-bedroom-arbutus/7506040673.html,2022-07-07 15:36:00,3300,2,2111 West 11th Avenue near Arbutus,-100.445882,39.78373
Spacious 1 Bedroom + Den - Arbutus Walk Corridor,https://vancouver.craigslist.org/van/apa/d/west-vancouver-spacious-bedroom-den/7506037262.html,2022-07-07 15:27:00,2675,1,2111 West 11th Avenue near Arbutus,-100.445882,39.78373
Entire House Close to Queen Elizabeth Park For Rent,https://vancouver.craigslist.org/van/apa/d/vancouver-entire-house-close-to-queen/7499893340.html,2022-07-07 14:53:00,4000,4,location not found,0.0,0.0
Custom Built Executive 6 Bedroom Mansion Located in Shaughnessy!,https://vancouver.craigslist.org/van/apa/d/vancouver-custom-built-executive/7496471733.html,2022-07-07 14:26:00,15990,6,location not found,0.0,0.0
Fairview one bedroom,https://vancouver.craigslist.org/van/apa/d/vancouver-fairview-one-bedroom/7506005145.html,2022-07-07 14:12:00,1885,1,1205 W 10 th near Alder,-100.445882,39.78373
3 bedrooms furnished kits home sept 1st,https://vancouver.craigslist.org/van/apa/d/vancouver-bedrooms-furnished-kits-home/7505972447.html,2022-07-07 13:04:00,6100,3,3160 WEST 3RD AVE near Balaklava and Trutch,-100.445882,39.78373
Spacious Apartment 1 Bed+ 1 Solarium at Kerrisdale,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-apartment-bed/7505964790.html,2022-07-07 12:48:00,2290,1,location not found,0.0,0.0
Kitsilano three bedroom garden basement suite,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-three-bedroom/7505953344.html,2022-07-07 12:24:00,3300,3,West 2nd,-100.445882,39.78373
"Bright, spacious 2-Bedroom Suite in KITSILANO - Minutes to Ocean",https://vancouver.craigslist.org/van/apa/d/vancouver-bright-spacious-bedroom-suite/7497738351.html,2022-07-07 12:03:00,2460,2,W 1st Ave near Dunbar,-100.445882,39.78373
2 bedroom New laneway House,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-new-laneway-house/7505935856.html,2022-07-07 12:02:00,2450,2,E 56th near Quebec St,-100.445882,39.78373
BASEMENT SUITE very nicely renovated in a shared house,https://vancouver.craigslist.org/van/apa/d/vancouver-basement-suite-very-nicely/7505934541.html,2022-07-07 12:00:00,2500,2,Matapan Crescent near Skeena Street,-100.445882,39.78373
Great Family house catchment in Magee Secondary,https://vancouver.craigslist.org/van/apa/d/vancouver-great-family-house-catchment/7505941511.html,2022-07-07 12:01:00,6500,5,location not found,0.0,0.0
